"user_id","age","year","week","all_activity_count","attestation_event_count","results_event_count","total_score","success_attempts","total_attempts","success_rate","avg_success_score","avg_score"
55026,19,2023.0,49.0,0,0,3,300,3,3,1.00,100,100
55026,19,2023.0,50.0,0,0,2,200,2,2,1.00,100,100
55026,19,2023.0,51.0,0,0,2,200,2,2,1.00,100,100
55026,19,2023.0,52.0,0,0,1,100,1,1,1.00,100,100
55026,19,2024.0,1.0,0,0,1,100,1,1,1.00,100,100
55026,19,2024.0,2.0,0,0,1,100,1,1,1.00,100,100
55026,19,2024.0,3.0,0,0,2,200,2,2,1.00,100,100
55026,19,2024.0,4.0,61,1,3,290,3,77,0.04,96,3
55026,19,2024.0,5.0,0,0,3,300,3,3,1.00,100,100
65367,17,2023.0,48.0,0,0,0,0,0,4,0.00,0,0
65367,17,2024.0,4.0,150,1,17,662,17,184,0.09,38,3
65942,19,2023.0,48.0,1,0,0,0,0,6,0.00,0,0
65942,19,2023.0,49.0,0,0,1,67,1,1,1.00,67,67
65942,19,2023.0,51.0,0,0,1,67,1,1,1.00,67,67
65942,19,2024.0,4.0,187,1,46,1090,21,257,0.08,51,4
65942,19,2024.0,5.0,0,0,1,67,1,1,1.00,67,67
65968,16,2023.0,52.0,0,0,1,67,1,1,1.00,67,67
65968,16,2024.0,3.0,0,0,1,67,1,1,1.00,67,67
65968,16,2024.0,4.0,0,0,1,100,1,1,1.00,100,100
65968,16,2024.0,5.0,0,0,2,134,2,2,1.00,67,67
66276,18,2023.0,48.0,0,0,0,0,0,2,0.00,0,0
66276,18,2023.0,49.0,0,0,3,300,3,4,0.75,100,75
66276,18,2023.0,50.0,0,0,1,100,1,1,1.00,100,100
66276,18,2023.0,51.0,0,0,3,300,3,3,1.00,100,100
66276,18,2023.0,52.0,0,0,1,100,1,1,1.00,100,100
66276,18,2024.0,1.0,0,0,1,100,1,1,1.00,100,100
66276,18,2024.0,2.0,0,0,1,100,1,1,1.00,100,100
66276,18,2024.0,3.0,101,0,10,293,3,110,0.03,97,2
66276,18,2024.0,4.0,24,1,4,390,4,32,0.13,97,12
66276,18,2024.0,5.0,0,0,1,100,1,2,0.50,100,50
66485,18,2023.0,49.0,0,0,2,200,2,2,1.00,100,100
66485,18,2023.0,50.0,0,0,1,100,1,1,1.00,100,100
66485,18,2023.0,51.0,0,0,3,300,3,3,1.00,100,100
66485,18,2023.0,52.0,0,0,2,200,2,2,1.00,100,100
66485,18,2024.0,2.0,0,0,1,100,1,1,1.00,100,100
66485,18,2024.0,3.0,221,1,7,500,5,238,0.02,100,2
66485,18,2024.0,4.0,3,0,1,100,1,9,0.11,100,11
66485,18,2024.0,5.0,0,0,3,300,3,3,1.00,100,100
66493,17,2023.0,48.0,0,0,0,0,0,48,0.00,0,0
66493,17,2023.0,49.0,7,0,3,300,3,41,0.07,100,7
66493,17,2023.0,50.0,1,0,2,167,2,4,0.50,83,41
66493,17,2023.0,51.0,4,0,1,100,1,9,0.11,100,11
66493,17,2023.0,52.0,0,0,2,200,2,3,0.67,100,66
66493,17,2024.0,1.0,0,0,1,100,1,1,1.00,100,100
66493,17,2024.0,2.0,35,0,4,400,4,43,0.09,100,9
66493,17,2024.0,3.0,28,0,3,300,3,40,0.08,100,7
66493,17,2024.0,4.0,60,1,2,190,2,76,0.03,95,2
66493,17,2024.0,5.0,0,0,3,300,3,3,1.00,100,100
66502,17,2023.0,48.0,33,0,0,0,0,59,0.00,0,0
66502,17,2023.0,49.0,124,0,0,0,0,133,0.00,0,0
66502,17,2023.0,50.0,1,0,0,0,0,3,0.00,0,0
66502,17,2023.0,51.0,0,0,0,0,0,1,0.00,0,0
66502,17,2023.0,52.0,0,0,2,167,2,3,0.67,83,55
66502,17,2024.0,3.0,41,0,3,267,3,47,0.06,89,5
